date,away,home,pred_winner,fav_win_prob,total_pick_long,total_pick_short,total_val,total_confidence,under_conf,under_100_ret,under_pct_ret,over_conf,over_100_ret,over_pct_ret,runline_pick_long,runline_pick_short,runline_val,runline_confidence,away_rl_conf,away_rl_100_ret,away_rl_pct_ret,home_rl_conf,home_rl_100_ret,home_rl_pct_ret,ml_pick_long,ml_pick_short,ml_val,moneyline_confidence,away_ml_conf,away_ml_100,away_ml_pct_ret,home_ml_conf,home_ml_100_ret,home_ml_pct_ret,game,pred_away_runs,pred_away_hits,pred_away_errors,pred_away_at_bats,pred_away_homeruns,pred_away_walks,pred_away_strikeouts,pred_home_runs,pred_home_hits,pred_home_errors,pred_home_at_bats,pred_home_homeruns,pred_home_walks,pred_home_strikeouts
2015-04-06,CLE,HOU,CLE,50.6%,Under 7.5 (-110),Under,7.5,1,52.52%,$100.30,0.30%,47.48%,$95.00,-5.00%,CLE -1.5 (+160),Away,-1.5,1,38.47%,$100.00,0.00%,61.53%,$96.90,-3.10%,No Pick,No Pick,,No Pick,50.60%,$97.00,-3.00%,49.40%,$99.30,-0.70%,1,3.94,9.05,0.6,35.01,0.87,3.11,6.55,3.56,8.31,0.68,33.2,0.73,2.84,7.93
2015-04-06,SF,ARI,SF,58.7%,Over 7.5 (+101),Over,7.5,2,40.82%,$77.60,-22.40%,59.18%,$118.90,18.90%,SF -1.5 (+131),Away,-1.5,1,46.92%,$108.40,8.40%,53.08%,$90.50,-9.50%,SF -134,Away,,1,58.73%,$102.60,2.60%,41.27%,$92.40,-7.60%,1,5.05,9.7,0.63,35.7,1.12,3.0,6.39,3.72,8.29,0.76,33.29,0.8,2.44,7.05
2015-04-06,TEX,OAK,OAK,62.8%,No Pick,No Pick,,No Pick,42.17%,$97.60,-2.40%,45.09%,$97.80,-2.20%,OAK -1.5 (+141),Home,-1.5,1,54.79%,$90.60,-9.40%,45.21%,$109.00,9.00%,OAK -155,Home,,1,37.25%,$90.50,-9.50%,62.75%,$103.20,3.20%,1,3.02,7.99,0.67,34.17,0.75,2.77,7.6,4.22,9.22,0.6,33.42,1.09,3.23,5.76
2015-04-07,ATL,MIA,MIA,52.2%,Over 7.0 (-102),Over,7.0,3,33.88%,$74.30,-25.70%,53.89%,$121.60,21.60%,ATL +1.5 (-182),Away,1.5,1,65.52%,$101.50,1.50%,34.48%,$92.10,-7.90%,ATL +126,Away,,1,47.82%,$108.10,8.10%,52.18%,$90.30,-9.70%,1,4.12,9.19,0.67,35.1,0.91,2.9,6.83,4.07,8.69,0.59,33.37,0.78,3.09,7.27
2015-04-07,BAL,TB,BAL,51.3%,Over 7.0 (-117),Over,7.0,2,34.28%,$80.50,-19.50%,53.45%,$113.00,13.00%,No Pick,No Pick,,No Pick,39.17%,$98.70,-1.30%,60.83%,$97.70,-2.30%,No Pick,No Pick,,No Pick,51.29%,$98.30,-1.70%,48.71%,$97.90,-2.10%,1,4.3,9.02,0.53,35.05,1.32,3.57,7.41,3.84,8.71,0.58,33.51,1.19,2.84,6.29
2015-04-07,COL,MIL,MIL,57.5%,Over 8.0 (-111),Over,8.0,1,39.48%,$86.30,-13.70%,52.50%,$108.50,8.50%,MIL -1.5 (+172),Home,-1.5,1,60.26%,$92.50,-7.50%,39.74%,$108.10,8.10%,MIL -125,Home,,1,42.52%,$91.40,-8.60%,57.48%,$103.50,3.50%,1,4.17,9.14,0.69,35.0,1.13,2.89,7.15,4.74,9.19,0.59,33.37,1.16,3.41,5.96
2015-04-07,SF,ARI,SF,59.2%,Over 8.5 (+102),Over,8.5,1,47.09%,$88.80,-11.20%,52.91%,$106.90,6.90%,SF -1.5 (+149),Away,-1.5,2,47.38%,$118.00,18.00%,52.62%,$85.10,-14.90%,SF -105,Away,,2,59.17%,$115.50,15.50%,40.83%,$80.50,-19.50%,1,5.17,9.91,0.61,35.8,1.21,3.37,6.56,3.79,8.42,0.66,33.52,0.89,2.7,6.67
2015-04-07,TEX,OAK,OAK,61.1%,Over 7.5 (+109),Over,7.5,1,47.94%,$87.90,-12.10%,52.06%,$108.80,8.80%,OAK -1.5 (+138),Home,-1.5,1,56.48%,$94.10,-5.90%,43.52%,$103.60,3.60%,OAK -150,Home,,1,38.86%,$92.50,-7.50%,61.14%,$101.90,1.90%,1,3.49,8.23,0.69,34.24,0.76,3.25,7.58,4.5,9.3,0.63,33.57,1.26,3.39,5.89
2015-04-07,SD,LAD,LAD,59.4%,Over 6.5 (+104),Over,6.5,2,44.26%,$82.80,-17.20%,55.74%,$113.70,13.70%,LAD -1.5 (+169),Home,-1.5,1,58.29%,$90.00,-10.00%,41.71%,$112.20,12.20%,LAD -141,Home,,1,40.60%,$93.40,-6.60%,59.40%,$101.50,1.50%,1,3.11,8.18,0.7,34.54,0.84,2.41,8.45,3.91,8.76,0.59,33.01,0.92,3.58,6.73
2015-04-07,LAA,SEA,SEA,53.7%,No Pick,No Pick,,No Pick,44.45%,$99.90,-0.10%,42.80%,$95.30,-4.70%,SEA -1.5 (+183),Home,-1.5,1,64.01%,$96.00,-4.00%,35.99%,$101.80,1.80%,SEA -115,Home,,1,46.27%,$95.30,-4.70%,53.73%,$100.50,0.50%,1,3.43,8.41,0.62,34.3,0.87,3.55,7.64,3.56,8.16,0.63,32.57,0.99,3.83,6.92
2015-04-08,MIN,DET,DET,59.5%,Over 8.5 (-106),Over,8.5,1,47.80%,$93.80,-6.20%,52.20%,$101.40,1.40%,MIN +1.5 (-135),Away,1.5,1,58.19%,$101.30,1.30%,41.81%,$94.10,-5.90%,MIN +151,Away,,1,40.51%,$101.70,1.70%,59.49%,$95.80,-4.20%,1,4.04,9.28,0.65,35.21,0.84,2.94,7.3,4.85,9.99,0.7,34.09,1.32,3.16,5.76
2015-04-08,STL,CHC,CHC,53.6%,Over 6.5 (+105),Over,6.5,2,42.24%,$78.70,-21.30%,57.76%,$118.40,18.40%,CHC +1.5 (-185),Home,1.5,1,34.39%,$92.80,-7.20%,65.61%,$101.10,1.10%,CHC -109,Home,,1,46.45%,$93.40,-6.60%,53.55%,$102.70,2.70%,1,3.56,8.08,0.63,34.13,0.75,3.23,8.38,3.67,8.38,0.59,33.07,0.78,3.15,7.03
2015-04-08,BOS,PHI,BOS,50.9%,Over 7.5 (+123),Over,7.5,2,45.92%,$79.70,-20.30%,54.08%,$120.60,20.60%,PHI +1.5 (-138),Home,1.5,1,38.79%,$88.00,-12.00%,61.21%,$105.60,5.60%,PHI +126,Home,,1,50.91%,$88.10,-11.90%,49.09%,$110.90,10.90%,1,4.31,9.12,0.63,34.96,0.82,3.4,6.91,3.9,8.75,0.59,33.45,0.78,2.69,5.83
2015-04-08,TOR,NYY,NYY,53.0%,Over 6.5 (-114),Over,6.5,4,28.94%,$58.80,-41.20%,71.06%,$133.40,33.40%,No Pick,No Pick,,No Pick,64.74%,$98.50,-1.50%,35.26%,$97.30,-2.70%,TOR +118,Away,,1,47.02%,$102.50,2.50%,52.98%,$94.40,-5.60%,1,4.38,9.43,0.59,35.57,1.25,2.44,7.58,4.42,8.78,0.62,33.37,1.16,3.36,6.15
2015-04-08,NYM,WSH,WSH,57.9%,Over 6.0 (-108),Over,6.0,3,32.44%,$70.30,-29.70%,58.89%,$124.20,24.20%,WSH -1.5 (+170),Home,-1.5,1,59.84%,$92.20,-7.80%,40.16%,$108.40,8.40%,WSH -137,Home,,1,42.11%,$95.20,-4.80%,57.89%,$100.10,0.10%,1,3.37,8.39,0.67,34.59,0.78,2.5,7.96,3.99,8.47,0.57,32.77,0.84,3.44,7.23
2015-04-08,ATL,MIA,MIA,55.6%,Over 7.5 (+103),Over,7.5,2,43.97%,$82.50,-17.50%,56.03%,$113.70,13.70%,No Pick,No Pick,,No Pick,62.12%,$97.60,-2.40%,37.88%,$98.90,-1.10%,ATL +127,Away,,1,44.36%,$100.70,0.70%,55.64%,$96.00,-4.00%,1,4.03,8.84,0.64,34.74,0.88,3.28,7.14,4.39,9.0,0.58,33.13,1.0,3.68,6.3
2015-04-08,BAL,TB,TB,52.3%,Over 7.5 (+105),Over,7.5,1,49.70%,$92.50,-7.50%,50.30%,$103.10,3.10%,No Pick,No Pick,,No Pick,65.44%,$97.70,-2.30%,34.56%,$98.80,-1.20%,No Pick,No Pick,,No Pick,47.74%,$98.30,-1.70%,52.26%,$97.70,-2.30%,1,3.92,8.51,0.57,34.75,1.16,3.39,8.22,3.88,8.61,0.53,33.33,1.12,3.35,6.15
2015-04-08,PIT,CIN,PIT,55.2%,Over 7.5 (-101),Over,7.5,1,49.65%,$95.20,-4.80%,50.35%,$100.20,0.20%,PIT -1.5 (+140),Away,-1.5,1,43.15%,$103.60,3.60%,56.85%,$94.30,-5.70%,PIT -119,Away,,1,55.15%,$101.50,1.50%,44.85%,$94.20,-5.80%,1,4.35,9.18,0.6,35.25,1.16,3.02,7.06,3.45,7.95,0.63,32.84,0.83,3.05,7.34
2015-04-08,COL,MIL,MIL,59.6%,Over 8.5 (-104),Over,8.5,1,44.85%,$87.20,-12.80%,55.15%,$108.20,8.20%,MIL -1.5 (+165),Home,-1.5,1,58.10%,$90.40,-9.60%,41.90%,$111.00,11.00%,MIL -130,Home,,1,40.42%,$88.90,-11.10%,59.58%,$105.40,5.40%,1,4.19,9.17,0.71,35.01,1.18,2.82,7.05,5.01,9.43,0.59,33.46,1.3,3.64,5.49
2015-04-08,CLE,HOU,CLE,56.6%,Under 8.5 (-104),Under,8.5,1,53.76%,$105.50,5.50%,46.24%,$89.90,-10.10%,CLE -1.5 (+138),Away,-1.5,1,44.66%,$106.30,6.30%,55.34%,$92.20,-7.80%,CLE -125,Away,,1,56.59%,$101.90,1.90%,43.41%,$93.30,-6.70%,1,4.66,9.79,0.68,35.6,1.1,3.51,6.12,3.59,8.59,0.7,33.48,0.71,2.81,7.55
2015-04-08,CHW,KC,KC,52.5%,Over 7.5 (-106),Over,7.5,1,44.50%,$87.30,-12.70%,55.50%,$107.90,7.90%,No Pick,No Pick,,No Pick,65.23%,$98.00,-2.00%,34.77%,$98.10,-1.90%,CHW +111,Away,,1,47.52%,$100.30,0.30%,52.48%,$96.20,-3.80%,1,4.19,8.84,0.63,34.66,0.93,3.04,7.14,4.17,8.76,0.57,33.15,0.72,3.14,6.44
2015-04-08,SF,ARI,SF,56.5%,Over 8.5 (-113),Over,8.5,1,43.80%,$88.50,-11.50%,56.20%,$105.90,5.90%,SF +1.5 (-190),Away,1.5,3,73.33%,$111.90,11.90%,26.67%,$73.10,-26.90%,SF +105,Away,,2,56.50%,$115.80,15.80%,43.50%,$81.70,-18.30%,1,5.19,9.86,0.61,35.6,1.23,3.29,6.69,4.13,8.63,0.66,33.47,1.04,2.94,6.13
2015-04-08,SD,LAD,LAD,58.8%,Over 7.0 (+111),Over,7.0,1,41.73%,$86.70,-13.30%,45.54%,$110.10,10.10%,LAD -1.5 (+186),Home,-1.5,1,58.90%,$87.90,-12.10%,41.10%,$117.60,17.60%,LAD -119,Home,,1,41.19%,$86.50,-13.50%,58.81%,$108.20,8.20%,1,3.28,8.47,0.72,34.69,0.92,2.35,7.56,4.01,9.18,0.66,33.53,0.97,3.26,6.4
2015-04-08,TEX,OAK,OAK,63.0%,Over 7.0 (+113),Over,7.0,3,36.49%,$75.00,-25.00%,51.03%,$124.20,24.20%,OAK -1.5 (+146),Home,-1.5,1,54.49%,$88.80,-11.20%,45.51%,$112.00,12.00%,OAK -153,Home,,1,36.97%,$89.10,-10.90%,63.03%,$104.20,4.20%,1,3.32,8.42,0.77,34.56,0.92,2.6,7.21,4.56,9.44,0.5,33.65,1.01,3.65,5.57
2015-04-08,LAA,SEA,SEA,53.7%,Under 7.0 (-106),Under,7.0,1,48.46%,$107.80,7.80%,38.92%,$87.40,-12.60%,No Pick,No Pick,,No Pick,64.01%,$98.60,-1.40%,35.99%,$97.20,-2.80%,LAA +117,Away,,1,46.27%,$100.40,0.40%,53.73%,$96.00,-4.00%,1,3.22,8.39,0.58,34.86,1.1,2.83,7.64,3.35,8.32,0.57,33.23,1.03,2.81,6.58
2015-04-09,PIT,CIN,CIN,50.4%,No Pick,No Pick,,No Pick,44.84%,$97.70,-2.30%,47.00%,$97.70,-2.30%,CIN +1.5 (-164),Home,1.5,1,37.46%,$94.00,-6.00%,62.54%,$100.70,0.70%,CIN +102,Home,,1,49.59%,$94.70,-5.30%,50.41%,$101.80,1.80%,1,4.29,9.1,0.65,35.02,1.19,3.06,7.02,4.04,8.23,0.61,32.73,0.89,3.76,7.11
