date,away,home,pred_winner,fav_win_prob,total_pick_long,total_pick_short,total_val,total_confidence,under_conf,under_100_ret,under_pct_ret,over_conf,over_100_ret,over_pct_ret,runline_pick_long,runline_pick_short,runline_val,runline_confidence,away_rl_conf,away_rl_100_ret,away_rl_pct_ret,home_rl_conf,home_rl_100_ret,home_rl_pct_ret,ml_pick_long,ml_pick_short,ml_val,moneyline_confidence,away_ml_conf,away_ml_100,away_ml_pct_ret,home_ml_conf,home_ml_100_ret,home_ml_pct_ret,game,pred_away_runs,pred_away_hits,pred_away_errors,pred_away_at_bats,pred_away_homeruns,pred_away_walks,pred_away_strikeouts,pred_home_runs,pred_home_hits,pred_home_errors,pred_home_at_bats,pred_home_homeruns,pred_home_walks,pred_home_strikeouts
2016-04-22,STL,SD,SD,50.9%,Under 7.0 (-105),Under,7.0,1,45.05%,$100.50,0.50%,42.43%,$90.70,-9.30%,SD +1.5 (-150),Home,1.5,1,36.95%,$85.00,-15.00%,63.05%,$105.10,5.10%,SD +119,Home,,1,49.08%,$87.10,-12.90%,50.92%,$111.50,11.50%,1,3.54,9.0,0.7,34.98,1.03,3.3,7.79,3.3,8.87,0.74,33.51,0.95,2.83,6.72
2016-04-23,TB,NYY,NYY,55.1%,Over 7.5 (-120),Over,7.5,2,38.54%,$77.10,-22.90%,61.46%,$112.70,12.70%,TB +1.5 (-160),Away,1.5,1,62.68%,$101.90,1.90%,37.32%,$89.60,-10.40%,TB +146,Away,,1,44.92%,$110.50,10.50%,55.08%,$90.40,-9.60%,1,4.35,8.88,0.6,35.18,1.17,2.71,7.71,4.62,8.73,0.62,33.51,1.21,3.33,6.7
2016-04-23,MIN,WSH,WSH,55.3%,No Pick,No Pick,,No Pick,41.86%,$91.10,-8.90%,49.99%,$99.80,-0.20%,WSH -1.5 (+175),Home,-1.5,1,62.42%,$92.90,-7.10%,37.58%,$103.30,3.30%,WSH -118,Home,,1,44.66%,$92.90,-7.10%,55.34%,$102.20,2.20%,1,4.14,9.05,0.58,35.12,0.94,2.65,7.0,4.45,9.17,0.66,33.68,1.19,2.86,5.84
2016-04-23,OAK,TOR,TOR,57.6%,Under 8.5 (-105),Under,8.5,1,51.84%,$101.20,1.20%,48.16%,$90.00,-10.00%,OAK +1.5 (-135),Away,1.5,1,60.11%,$104.60,4.60%,39.89%,$85.80,-14.20%,OAK +162,Away,,1,42.37%,$111.00,11.00%,57.63%,$91.10,-8.90%,1,3.9,8.65,0.61,34.82,1.01,2.7,7.31,4.49,8.76,0.56,33.0,1.02,3.54,6.33
2016-04-23,CLE,DET,CLE,50.7%,Over 7.5 (-120),Over,7.5,1,43.61%,$87.20,-12.80%,56.39%,$103.40,3.40%,No Pick,No Pick,,No Pick,38.56%,$92.60,-7.40%,61.44%,$99.80,-0.20%,No Pick,No Pick,,No Pick,50.69%,$96.80,-3.20%,49.31%,$98.60,-1.40%,1,4.41,9.29,0.58,35.3,1.33,3.24,6.85,3.98,8.72,0.61,33.59,1.21,2.85,7.59
2016-04-23,TEX,CHW,CHW,52.2%,Over 8.0 (-110),Over,8.0,2,39.26%,$81.50,-18.50%,52.67%,$109.40,9.40%,TEX +1.5 (-170),Away,1.5,1,65.48%,$104.00,4.00%,34.52%,$86.30,-13.70%,TEX +130,Away,,1,47.78%,$109.90,9.90%,52.22%,$89.50,-10.50%,1,4.48,9.03,0.73,34.7,0.89,3.98,7.8,4.41,9.03,0.63,33.49,0.97,2.93,6.03
2016-04-23,BOS,HOU,HOU,53.3%,Over 8.0 (-130),Over,8.0,1,37.71%,$86.10,-13.90%,54.31%,$104.40,4.40%,BOS +1.5 (-170),Away,1.5,1,64.48%,$102.40,2.40%,35.52%,$88.80,-11.20%,BOS +124,Away,,1,46.75%,$104.70,4.70%,53.25%,$93.00,-7.00%,1,4.51,9.08,0.6,35.32,1.2,3.16,7.48,4.56,9.21,0.6,33.76,1.0,3.3,6.69
2016-04-23,CHC,CIN,CHC,57.4%,No Pick,No Pick,,No Pick,51.17%,$93.80,-6.20%,48.83%,$97.70,-2.30%,CIN +1.5 (-115),Home,1.5,1,45.48%,$88.80,-11.20%,54.52%,$101.90,1.90%,CIN +154,Home,,1,57.37%,$92.40,-7.60%,42.63%,$108.30,8.30%,1,4.86,9.28,0.62,35.22,1.14,3.95,7.32,3.61,8.28,0.69,33.47,0.88,2.49,7.51
2016-04-23,NYM,ATL,NYM,58.2%,Over 7.5 (-105),Over,7.5,1,44.54%,$83.30,-16.70%,55.46%,$108.30,8.30%,No Pick,No Pick,,No Pick,46.40%,$97.40,-2.60%,53.60%,$94.80,-5.20%,No Pick,No Pick,,No Pick,58.24%,$98.40,-1.60%,41.76%,$98.10,-1.90%,1,4.83,9.81,0.68,35.74,1.13,3.64,7.1,3.46,8.42,0.7,33.61,0.85,2.69,7.39
2016-04-23,PHI,MIL,MIL,52.7%,Under 8.5 (-115),Under,8.5,1,54.03%,$101.00,1.00%,45.97%,$89.80,-10.20%,PHI +1.5 (-170),Away,1.5,1,64.98%,$103.20,3.20%,35.02%,$87.60,-12.40%,PHI +127,Away,,1,47.26%,$107.30,7.30%,52.74%,$91.20,-8.80%,1,4.08,8.96,0.73,34.84,1.02,2.89,6.94,4.07,8.99,0.65,33.4,0.83,3.29,6.17
2016-04-23,BAL,KC,KC,54.3%,No Pick,No Pick,,No Pick,46.87%,$96.10,-3.90%,42.56%,$95.20,-4.80%,No Pick,No Pick,,No Pick,63.49%,$96.90,-3.10%,36.51%,$96.70,-3.30%,KC -118,Home,,1,45.74%,$95.10,-4.90%,54.26%,$100.30,0.30%,1,4.38,8.99,0.66,34.74,1.0,3.24,6.59,4.56,9.03,0.58,33.32,0.9,3.4,5.72
2016-04-23,PIT,ARI,PIT,53.5%,No Pick,No Pick,,No Pick,43.10%,$92.00,-8.00%,46.33%,$98.90,-1.10%,PIT +1.5 (-215),Away,1.5,1,70.77%,$103.70,3.70%,29.23%,$83.30,-16.70%,PIT -108,Away,,1,53.52%,$103.10,3.10%,46.48%,$92.10,-7.90%,1,5.07,9.52,0.68,35.54,1.24,3.46,7.08,4.29,8.58,0.62,33.41,0.81,3.66,7.62
2016-04-23,LAD,COL,LAD,58.0%,Over 11.0 (-120),Over,11.0,1,37.74%,$83.30,-16.70%,52.91%,$107.00,7.00%,LAD -1.5 (+135),Away,-1.5,1,46.11%,$108.40,8.40%,53.89%,$88.70,-11.30%,LAD -119,Away,,1,57.97%,$106.70,6.70%,42.03%,$87.80,-12.20%,1,6.67,10.41,0.72,36.01,1.21,3.66,6.2,5.34,9.19,0.74,33.98,1.01,2.83,6.44
2016-04-23,STL,SD,STL,53.6%,No Pick,No Pick,,No Pick,55.21%,$96.10,-3.90%,44.79%,$96.30,-3.70%,SD +1.5 (-130),Home,1.5,1,41.50%,$87.20,-12.80%,58.50%,$103.50,3.50%,SD +135,Home,,1,53.57%,$90.50,-9.50%,46.43%,$109.10,9.10%,1,3.95,9.54,0.67,35.5,1.17,3.52,7.14,3.16,8.53,0.72,33.51,0.88,3.01,7.18
2016-04-23,MIA,SF,SF,56.0%,No Pick,No Pick,,No Pick,42.99%,$91.90,-8.10%,44.48%,$99.30,-0.70%,SF +1.5 (-165),Home,1.5,2,32.06%,$78.60,-21.40%,67.94%,$109.10,9.10%,SF +109,Home,,2,43.99%,$80.90,-19.10%,56.01%,$117.10,17.10%,1,3.34,8.64,0.6,34.8,0.9,2.53,6.8,3.73,8.47,0.56,33.06,0.84,3.32,7.33
2016-04-23,SEA,LAA,LAA,52.1%,Over 7.0 (-110),Over,7.0,2,37.54%,$81.70,-18.30%,50.13%,$109.20,9.20%,LAA -1.5 (+200),Home,-1.5,1,65.58%,$92.90,-7.10%,34.42%,$103.20,3.20%,LAA -107,Home,,1,47.89%,$94.40,-5.60%,52.11%,$100.80,0.80%,1,3.9,8.46,0.57,34.49,1.1,3.24,7.17,3.81,8.59,0.56,33.21,0.98,3.09,7.05
2016-04-24,TB,NYY,NYY,51.0%,Over 7.5 (+103),Over,7.5,2,45.20%,$81.90,-18.10%,54.80%,$111.20,11.20%,No Pick,No Pick,,No Pick,66.61%,$99.10,-0.90%,33.39%,$91.80,-8.20%,TB +105,Away,,1,48.96%,$100.40,0.40%,51.04%,$95.40,-4.60%,1,4.22,8.88,0.57,35.15,1.12,2.77,7.9,4.0,8.01,0.58,33.07,1.15,3.01,7.54
2016-04-24,OAK,TOR,TOR,59.7%,Under 9.0 (+110),Under,9.0,1,46.53%,$109.30,9.30%,42.90%,$84.90,-15.10%,OAK +1.5 (-120),Away,1.5,1,58.03%,$106.40,6.40%,41.97%,$83.90,-16.10%,OAK +171,Away,,1,40.35%,$109.40,9.40%,59.65%,$92.60,-7.40%,1,4.07,8.65,0.61,34.78,1.09,2.82,7.28,4.91,8.88,0.51,33.25,1.26,3.71,6.6
2016-04-24,CHC,CIN,CHC,56.7%,No Pick,No Pick,,No Pick,48.76%,$99.90,-0.10%,40.72%,$91.00,-9.00%,CIN +1.5 (-110),Home,1.5,1,44.81%,$85.60,-14.40%,55.19%,$105.40,5.40%,CIN +152,Home,,1,56.74%,$91.80,-8.20%,43.26%,$109.00,9.00%,1,4.95,9.54,0.62,35.32,1.19,3.74,6.54,3.78,8.42,0.71,33.48,1.0,2.65,7.38
2016-04-24,CLE,DET,CLE,55.8%,Over 8.0 (-107),Over,8.0,1,43.59%,$89.50,-10.50%,48.22%,$101.60,1.60%,DET +1.5 (-115),Home,1.5,1,43.87%,$85.60,-14.40%,56.13%,$104.90,4.90%,DET +150,Home,,1,55.84%,$90.70,-9.30%,44.16%,$110.40,10.40%,1,4.73,9.79,0.65,35.65,1.31,3.44,6.28,3.67,8.31,0.67,33.39,1.04,2.92,7.79
2016-04-24,MIN,WSH,WSH,60.2%,Over 7.0 (+100),Over,7.0,2,37.77%,$79.00,-21.00%,49.89%,$113.80,13.80%,No Pick,No Pick,,No Pick,57.45%,$97.10,-2.90%,42.55%,$95.70,-4.30%,MIN +157,Away,,1,39.79%,$102.30,2.30%,60.21%,$96.30,-3.70%,1,3.38,8.07,0.56,34.82,0.82,2.35,9.07,4.29,8.73,0.59,33.38,1.0,3.43,6.74
2016-04-24,NYM,ATL,NYM,62.4%,Over 7.5 (+100),Over,7.5,1,48.31%,$88.60,-11.40%,51.69%,$103.40,3.40%,NYM -1.5 (+100),Away,-1.5,1,50.81%,$101.60,1.60%,49.19%,$90.20,-9.80%,NYM -164,Away,,1,62.39%,$100.40,0.40%,37.61%,$95.50,-4.50%,1,4.88,9.84,0.66,35.72,1.29,3.75,6.87,2.99,7.81,0.73,33.29,0.71,2.27,7.96
2016-04-24,PHI,MIL,MIL,52.7%,No Pick,No Pick,,No Pick,52.43%,$98.00,-2.00%,47.57%,$92.90,-7.10%,MIL -1.5 (+195),Home,-1.5,1,65.05%,$94.00,-6.00%,34.95%,$103.10,3.10%,MIL +100,Home,,1,47.34%,$90.40,-9.60%,52.66%,$105.30,5.30%,1,4.18,9.46,0.69,35.47,0.98,3.08,6.49,4.15,8.99,0.72,33.66,0.98,3.08,6.73
2016-04-24,TEX,CHW,CHW,53.2%,Under 8.5 (+105),Under,8.5,1,51.26%,$105.10,5.10%,48.74%,$87.70,-12.30%,No Pick,No Pick,,No Pick,64.51%,$98.50,-1.50%,35.49%,$94.00,-6.00%,No Pick,No Pick,,No Pick,46.78%,$99.20,-0.80%,53.22%,$96.80,-3.20%,1,4.21,8.98,0.69,35.14,0.98,3.02,7.29,4.25,8.91,0.66,33.44,1.01,3.19,6.04
2016-04-24,BAL,KC,KC,61.9%,No Pick,No Pick,,No Pick,49.32%,$96.30,-3.70%,50.68%,$94.80,-5.20%,KC -1.5 (+150),Home,-1.5,1,55.66%,$88.40,-11.60%,44.34%,$110.90,10.90%,KC -138,Home,,1,38.08%,$86.80,-13.20%,61.92%,$106.80,6.80%,1,3.77,8.12,0.63,34.28,0.75,3.18,7.59,4.9,8.98,0.57,33.4,1.17,3.63,6.03
2016-04-24,SEA,LAA,SEA,50.2%,Under 8.0 (-115),Under,8.0,1,50.42%,$102.60,2.60%,41.43%,$88.10,-11.90%,SEA +1.5 (-180),Away,1.5,1,67.75%,$105.40,5.40%,32.25%,$83.90,-16.10%,SEA +118,Away,,1,50.18%,$109.40,9.40%,49.82%,$88.70,-11.30%,1,4.0,9.02,0.54,34.96,1.18,2.87,7.1,3.63,8.51,0.61,33.1,0.94,3.06,6.63
2016-04-24,MIA,SF,SF,57.0%,No Pick,No Pick,,No Pick,50.02%,$99.80,-0.20%,41.82%,$91.10,-8.90%,SF +1.5 (-175),Home,1.5,2,31.18%,$79.50,-20.50%,68.82%,$108.10,8.10%,SF -103,Home,,2,43.03%,$83.30,-16.70%,56.97%,$112.30,12.30%,1,3.59,8.73,0.51,34.68,1.0,2.78,6.58,4.1,8.77,0.52,33.13,1.1,3.62,6.47
2016-04-24,LAD,COL,LAD,57.0%,No Pick,No Pick,,No Pick,42.26%,$91.20,-8.80%,48.20%,$99.60,-0.40%,No Pick,No Pick,,No Pick,45.07%,$96.90,-3.10%,54.93%,$95.60,-4.40%,LAD -132,Away,,1,56.98%,$100.10,0.10%,43.02%,$95.50,-4.50%,1,6.35,10.14,0.74,35.76,1.0,3.8,6.22,5.14,9.06,0.69,34.02,0.88,2.81,6.5
2016-04-24,PIT,ARI,PIT,53.2%,Over 8.5 (-105),Over,8.5,1,47.23%,$88.30,-11.70%,52.77%,$103.00,3.00%,PIT +1.5 (-225),Away,1.5,1,70.46%,$101.80,1.80%,29.54%,$87.20,-12.80%,PIT -112,Away,,1,53.16%,$100.60,0.60%,46.84%,$94.60,-5.40%,1,4.82,9.29,0.65,35.19,0.96,3.47,7.6,4.08,8.45,0.6,33.26,0.82,3.32,7.57
2016-04-24,STL,SD,SD,52.8%,Under 7.5 (+105),Under,7.5,2,58.61%,$120.20,20.20%,41.39%,$74.50,-25.50%,SD +1.5 (-135),Home,1.5,2,35.14%,$75.50,-24.50%,64.86%,$112.90,12.90%,SD +135,Home,,2,47.23%,$79.80,-20.20%,52.77%,$124.00,24.00%,1,3.37,8.9,0.72,34.91,0.88,3.32,7.75,3.36,8.99,0.74,33.51,0.89,2.98,6.44
2016-04-24,BOS,HOU,HOU,58.8%,No Pick,No Pick,,No Pick,42.17%,$92.10,-7.90%,47.27%,$98.80,-1.20%,HOU -1.5 (+180),Home,-1.5,1,58.87%,$86.90,-13.10%,41.13%,$115.20,15.20%,HOU -107,Home,,2,41.16%,$81.10,-18.90%,58.84%,$113.80,13.80%,1,4.36,9.08,0.64,35.34,1.15,2.94,6.6,5.1,9.37,0.61,33.8,1.29,3.9,6.24
2016-04-25,CHW,TOR,TOR,63.2%,No Pick,No Pick,,No Pick,46.83%,$91.40,-8.60%,53.17%,$99.40,-0.60%,No Pick,No Pick,,No Pick,54.30%,$96.10,-3.90%,45.70%,$96.00,-4.00%,No Pick,No Pick,,No Pick,36.79%,$99.30,-0.70%,63.21%,$98.30,-1.70%,1,3.82,8.6,0.65,34.6,0.8,2.67,6.78,5.13,9.54,0.56,33.62,1.28,3.58,6.06
2016-04-25,BAL,TB,TB,59.1%,Over 7.0 (-115),Over,7.0,1,39.35%,$87.70,-12.30%,48.22%,$103.00,3.00%,TB -1.5 (+170),Home,-1.5,1,58.63%,$88.70,-11.30%,41.37%,$111.70,11.70%,TB -122,Home,,1,40.93%,$86.80,-13.20%,59.07%,$107.50,7.50%,1,3.36,8.01,0.56,34.27,0.94,3.04,9.07,4.13,8.67,0.56,33.16,1.23,3.32,6.63
2016-04-25,CIN,NYM,NYM,62.6%,Over 6.5 (+105),Over,6.5,2,43.14%,$77.70,-22.30%,56.86%,$116.60,16.60%,No Pick,No Pick,,No Pick,54.93%,$95.60,-4.40%,45.07%,$96.90,-3.10%,CIN +190,Away,,1,37.39%,$108.40,8.40%,62.61%,$93.10,-6.90%,1,2.92,8.11,0.66,34.66,0.85,2.23,8.8,4.14,8.68,0.52,33.11,1.08,3.55,7.18
2016-04-25,BOS,ATL,BOS,50.6%,Over 7.5 (-105),Over,7.5,2,43.08%,$80.50,-19.50%,56.92%,$111.10,11.10%,ATL +1.5 (-150),Home,1.5,1,38.50%,$88.60,-11.40%,61.50%,$102.50,2.50%,ATL +116,Home,,1,50.63%,$90.80,-9.20%,49.37%,$106.60,6.60%,1,4.44,9.58,0.65,35.52,1.18,3.6,7.0,4.01,9.12,0.67,33.6,1.0,2.77,6.36
2016-04-25,OAK,DET,DET,54.9%,No Pick,No Pick,,No Pick,49.35%,$92.30,-7.70%,50.65%,$98.90,-1.10%,No Pick,No Pick,,No Pick,62.91%,$98.90,-1.10%,37.09%,$94.60,-5.40%,No Pick,No Pick,,No Pick,45.15%,$96.60,-3.40%,54.85%,$99.10,-0.90%,1,4.21,9.36,0.67,35.41,1.04,2.78,6.81,4.46,9.31,0.63,33.77,1.16,3.26,6.07
2016-04-25,NYY,TEX,TEX,52.1%,No Pick,No Pick,,No Pick,44.61%,$97.40,-2.60%,44.81%,$93.70,-6.30%,TEX +1.5 (-160),Home,1.5,1,35.80%,$85.90,-14.10%,64.20%,$104.30,4.30%,TEX +110,Home,,1,47.91%,$87.80,-12.20%,52.09%,$109.40,9.40%,1,4.64,8.97,0.66,34.85,0.92,3.38,6.95,4.55,8.98,0.66,33.5,0.89,3.0,6.84
2016-04-25,CLE,MIN,CLE,55.8%,Over 8.0 (+105),Over,8.0,1,45.43%,$89.10,-10.90%,46.36%,$103.50,3.50%,MIN +1.5 (-125),Home,1.5,1,43.86%,$89.90,-10.10%,56.14%,$101.10,1.10%,MIN +133,Home,,1,55.83%,$94.90,-5.10%,44.17%,$102.90,2.90%,1,4.63,9.67,0.63,35.65,1.16,3.23,6.61,3.56,8.12,0.68,33.19,0.92,2.85,7.63
2016-04-25,PIT,COL,COL,51.1%,No Pick,No Pick,,No Pick,51.75%,$96.80,-3.20%,48.25%,$94.20,-5.80%,PIT +1.5 (-160),Away,1.5,2,66.54%,$108.10,8.10%,33.46%,$80.30,-19.70%,PIT +122,Away,,1,48.89%,$108.50,8.50%,51.11%,$89.80,-10.20%,1,5.85,9.75,0.8,35.59,0.95,3.34,6.88,5.64,9.54,0.76,34.11,0.85,3.22,6.66
2016-04-25,STL,ARI,ARI,52.0%,Over 7.5 (-107),Over,7.5,1,44.21%,$83.30,-16.70%,55.79%,$107.90,7.90%,No Pick,No Pick,,No Pick,65.69%,$99.40,-0.60%,34.31%,$92.60,-7.40%,No Pick,No Pick,,No Pick,48.00%,$99.80,-0.20%,52.00%,$96.10,-3.90%,1,4.22,8.6,0.61,34.78,0.87,2.77,7.5,4.11,8.41,0.59,32.98,0.74,3.23,6.81
2016-04-25,KC,LAA,LAA,51.1%,Over 7.0 (+110),Over,7.0,2,38.31%,$77.40,-22.60%,49.31%,$118.20,18.20%,No Pick,No Pick,,No Pick,66.55%,$99.00,-1.00%,33.45%,$92.00,-8.00%,No Pick,No Pick,,No Pick,48.90%,$99.80,-0.20%,51.10%,$95.90,-4.10%,1,3.91,8.79,0.56,34.97,0.95,3.38,7.44,3.7,8.11,0.64,33.16,1.05,3.03,7.22
2016-04-25,HOU,SEA,SEA,52.9%,No Pick,No Pick,,No Pick,47.88%,$95.80,-4.20%,52.12%,$95.60,-4.40%,HOU +1.5 (-170),Away,1.5,1,64.81%,$102.90,2.90%,35.19%,$88.00,-12.00%,HOU +134,Away,,1,47.09%,$110.20,10.20%,52.91%,$89.70,-10.30%,1,3.96,9.46,0.57,35.48,1.3,3.01,7.09,3.96,9.07,0.6,33.59,1.21,2.82,5.96
2016-04-25,MIA,LAD,LAD,55.2%,No Pick,No Pick,,No Pick,48.99%,$91.60,-8.40%,51.01%,$99.60,-0.40%,LAD -1.5 (+185),Home,-1.5,1,62.59%,$91.70,-8.30%,37.41%,$106.60,6.60%,LAD -111,Home,,1,44.83%,$90.10,-9.90%,55.17%,$104.90,4.90%,1,3.76,8.86,0.56,34.93,0.98,2.85,7.09,4.04,9.05,0.65,33.42,1.09,3.05,6.27
2016-04-25,SD,SF,SF,58.3%,Over 6.5 (-125),Over,6.5,1,42.59%,$87.30,-12.70%,57.41%,$103.30,3.30%,SD +1.5 (-140),Away,1.5,1,59.43%,$101.90,1.90%,40.57%,$89.30,-10.70%,SD +170,Away,,1,41.71%,$112.60,12.60%,58.29%,$90.70,-9.30%,1,3.22,8.15,0.69,34.39,0.85,2.57,8.04,3.9,8.32,0.6,32.58,0.95,3.78,7.14
2016-04-26,PHI,WSH,WSH,65.2%,Over 7.0 (-125),Over,7.0,2,32.04%,$74.50,-25.50%,56.17%,$114.60,14.60%,No Pick,No Pick,,No Pick,52.20%,$94.00,-6.00%,47.80%,$98.00,-2.00%,No Pick,No Pick,,No Pick,34.81%,$98.50,-1.50%,65.19%,$98.80,-1.20%,1,3.4,8.17,0.67,34.44,0.81,2.22,8.54,4.97,8.95,0.55,32.94,1.2,3.64,6.89
2016-04-26,CHW,TOR,TOR,57.8%,No Pick,No Pick,,No Pick,45.28%,$96.30,-3.70%,46.51%,$94.70,-5.30%,TOR +1.5 (-155),Home,1.5,3,30.46%,$71.60,-28.40%,69.54%,$114.40,14.40%,TOR +106,Home,,2,42.24%,$78.60,-21.40%,57.76%,$119.00,19.00%,1,3.8,8.51,0.6,34.49,0.89,2.81,6.38,4.41,8.67,0.52,33.29,1.06,2.81,7.24
2016-04-26,BAL,TB,TB,53.7%,No Pick,No Pick,,No Pick,51.78%,$94.90,-5.10%,48.22%,$96.40,-3.60%,TB -1.5 (+180),Home,-1.5,1,64.05%,$94.60,-5.40%,35.95%,$100.70,0.70%,TB -116,Home,,1,46.31%,$95.40,-4.60%,53.69%,$100.00,0.00%,1,3.69,8.39,0.58,34.59,1.13,2.78,7.85,3.8,8.24,0.58,32.8,0.98,3.34,6.99
2016-04-26,CIN,NYM,NYM,61.6%,Over 7.0 (-105),Over,7.0,2,35.22%,$74.90,-25.10%,52.64%,$117.00,17.00%,NYM -1.5 (+145),Home,-1.5,1,55.96%,$89.90,-10.10%,44.04%,$107.90,7.90%,NYM -151,Home,,1,38.37%,$92.50,-7.50%,61.63%,$102.40,2.40%,1,3.44,8.79,0.69,34.87,1.02,2.19,7.44,4.54,8.86,0.59,33.01,1.23,4.12,6.5
2016-04-26,OAK,DET,DET,51.3%,Under 9.0 (-108),Under,9.0,2,52.44%,$112.60,12.60%,37.22%,$78.60,-21.40%,DET +1.5 (-135),Home,1.5,2,36.61%,$78.70,-21.30%,63.39%,$110.40,10.40%,DET +123,Home,,2,48.73%,$85.40,-14.60%,51.27%,$114.30,14.30%,1,4.26,9.49,0.64,35.4,1.0,3.12,6.12,4.07,8.83,0.7,33.65,1.03,3.28,7.24
2016-04-26,BOS,ATL,BOS,55.2%,Over 7.0 (-118),Over,7.0,2,34.88%,$78.60,-21.40%,53.00%,$111.40,11.40%,ATL +1.5 (+110),Home,1.5,2,43.16%,$76.40,-23.60%,56.84%,$119.40,19.40%,ATL +203,Home,,2,55.16%,$80.20,-19.80%,44.84%,$135.90,35.90%,1,4.5,9.45,0.63,35.45,1.3,3.41,6.79,3.52,8.52,0.67,33.42,0.79,2.66,7.27
2016-04-26,MIL,CHC,CHC,65.6%,Over 7.5 (+105),Over,7.5,1,47.30%,$85.10,-14.90%,52.70%,$108.00,8.00%,No Pick,No Pick,,No Pick,51.77%,$98.80,-1.20%,48.23%,$92.10,-7.90%,MIL +207,Away,,1,34.40%,$105.60,5.60%,65.60%,$94.70,-5.30%,1,3.18,7.94,0.75,34.37,0.72,2.34,8.22,4.8,8.89,0.65,33.04,1.07,3.54,6.55
2016-04-26,NYY,TEX,TEX,50.7%,Over 9.0 (-112),Over,9.0,2,35.26%,$75.60,-24.40%,54.55%,$115.00,15.00%,TEX +1.5 (-155),Home,1.5,1,37.19%,$87.40,-12.60%,62.81%,$103.30,3.30%,TEX +109,Home,,1,49.32%,$90.80,-9.20%,50.68%,$105.90,5.90%,1,5.27,9.57,0.71,35.51,1.26,3.52,6.55,5.0,9.32,0.66,34.0,1.07,3.16,6.93
2016-04-26,CLE,MIN,CLE,50.5%,No Pick,No Pick,,No Pick,53.86%,$95.30,-4.70%,46.14%,$96.90,-3.10%,No Pick,No Pick,,No Pick,68.00%,$96.30,-3.70%,32.00%,$96.00,-4.00%,MIN +105,Home,,1,50.45%,$94.30,-5.70%,49.55%,$101.60,1.60%,1,4.29,9.28,0.63,35.31,0.98,3.24,6.68,3.88,8.7,0.6,33.31,0.92,2.82,5.79
2016-04-26,PIT,COL,PIT,58.3%,Over 9.5 (+100),Over,9.5,3,37.14%,$68.10,-31.90%,62.86%,$125.70,25.70%,COL +1.5 (-115),Home,1.5,1,46.47%,$90.70,-9.30%,53.53%,$100.10,0.10%,COL +148,Home,,1,58.31%,$95.20,-4.80%,41.69%,$103.40,3.40%,1,6.3,9.79,0.73,35.53,1.14,3.85,7.11,4.93,9.06,0.7,33.97,0.8,2.72,7.51
2016-04-26,STL,ARI,STL,52.6%,Over 8.5 (-110),Over,8.5,1,46.73%,$89.20,-10.80%,53.27%,$101.70,1.70%,No Pick,No Pick,,No Pick,40.49%,$93.10,-6.90%,59.51%,$99.20,-0.80%,ARI +116,Home,,1,52.58%,$94.30,-5.70%,47.42%,$102.40,2.40%,1,4.81,9.26,0.63,35.27,0.99,3.43,7.54,4.15,8.42,0.66,33.23,0.79,3.22,7.46
2016-04-26,KC,LAA,KC,50.4%,Over 7.5 (+105),Over,7.5,1,50.29%,$90.50,-9.50%,49.71%,$101.90,1.90%,LAA +1.5 (-150),Home,1.5,1,38.27%,$88.00,-12.00%,61.73%,$102.90,2.90%,LAA +114,Home,,1,50.40%,$91.00,-9.00%,49.60%,$106.20,6.20%,1,4.03,9.09,0.6,35.31,1.14,3.02,6.4,3.63,8.31,0.6,33.25,0.86,3.23,6.73
2016-04-26,MIA,LAD,LAD,66.2%,Over 6.5 (-130),Over,6.5,1,41.77%,$87.70,-12.30%,58.23%,$103.00,3.00%,MIA +1.5 (+120),Away,1.5,2,51.17%,$112.60,12.60%,48.83%,$83.70,-16.30%,MIA +275,Away,,1,33.84%,$126.90,26.90%,66.16%,$87.50,-12.50%,1,2.76,7.84,0.67,34.4,0.73,2.28,9.02,4.45,9.23,0.53,33.26,1.11,3.69,6.12
2016-04-26,HOU,SEA,HOU,52.1%,Over 7.0 (+105),Over,7.0,2,39.62%,$81.50,-18.50%,47.94%,$112.20,12.20%,SEA +1.5 (-130),Home,1.5,1,39.94%,$83.90,-16.10%,60.06%,$106.30,6.30%,SEA +142,Home,,2,52.05%,$86.30,-13.70%,47.95%,$116.00,16.00%,1,4.03,9.05,0.6,35.03,1.17,3.64,7.48,3.43,8.59,0.62,33.31,0.84,2.85,6.97
2016-04-26,SD,SF,SF,63.5%,Over 7.0 (-115),Over,7.0,2,33.96%,$75.40,-24.60%,54.02%,$114.80,14.80%,No Pick,No Pick,,No Pick,54.01%,$97.20,-2.80%,45.99%,$94.30,-5.70%,SD +194,Away,,1,36.52%,$107.40,7.40%,63.48%,$93.70,-6.30%,1,3.4,8.51,0.72,34.68,0.94,2.42,7.11,4.73,9.33,0.53,33.43,1.24,3.94,6.69
2016-04-27,SD,SF,SF,59.2%,No Pick,No Pick,,No Pick,50.46%,$94.30,-5.70%,49.54%,$96.70,-3.30%,SD +1.5 (-135),Away,1.5,1,58.55%,$101.90,1.90%,41.45%,$89.10,-10.90%,SD +172,Away,,1,40.85%,$111.10,11.10%,59.15%,$91.70,-8.30%,1,3.43,8.59,0.72,34.65,0.98,2.57,6.92,4.21,8.82,0.56,33.17,1.0,3.57,6.72
