,date,away,home,winner,home_runs,away_runs,total,home_wins,home_losses,home_win_perc,away_wins,away_losses,away_win_perc,home_cli,away_cli,game
406,2015-05-06,PHI,ATL,ATL,7.0,5.0,12.0,13.0,14.0,0.4814814814814815,10.0,18.0,0.35714285714285715,1.02,0.62,1
405,2015-05-06,TEX,HOU,TEX,3.0,11.0,14.0,18.0,9.0,0.6666666666666666,10.0,16.0,0.38461538461538464,1.36,0.86,1
404,2015-05-06,ARI,COL,ARI,7.0,13.0,20.0,11.0,13.0,0.4583333333333333,10.0,14.0,0.4166666666666667,0.96,0.74,1
409,2015-05-06,ARI,COL,ARI,1.0,5.0,6.0,11.0,14.0,0.44,11.0,14.0,0.44,0.9,0.84,1
402,2015-05-06,TB,BOS,TB,3.0,5.0,8.0,13.0,14.0,0.4814814814814815,14.0,13.0,0.5185185185185185,1.0,1.12,1
401,2015-05-06,OAK,MIN,MIN,13.0,0.0,13.0,14.0,13.0,0.5185185185185185,12.0,16.0,0.42857142857142855,0.97,0.79,1
400,2015-05-06,SEA,LAA,LAA,4.0,3.0,7.0,12.0,15.0,0.4444444444444444,11.0,16.0,0.4074074074074074,0.95,0.81,1
399,2015-05-06,BAL,NYM,NYM,5.0,1.0,6.0,17.0,10.0,0.6296296296296297,12.0,12.0,0.5,1.22,0.93,1
398,2015-05-06,DET,CHW,CHW,7.0,6.0,13.0,9.0,14.0,0.39130434782608703,17.0,10.0,0.6296296296296297,0.74,1.31,1
409,2015-05-06,ARI,COL,ARI,1.0,5.0,6.0,11.0,14.0,0.44,11.0,14.0,0.44,0.9,0.84,2
397,2015-05-06,MIA,WSH,WSH,7.0,5.0,12.0,13.0,15.0,0.4642857142857143,13.0,14.0,0.4814814814814815,1.01,1.06,1
396,2015-05-06,CHC,STL,CHC,5.0,6.0,11.0,20.0,6.0,0.7692307692307693,13.0,12.0,0.52,1.33,1.16,1
403,2015-05-06,CLE,KC,CLE,3.0,10.0,13.0,17.0,9.0,0.6538461538461539,9.0,16.0,0.36,1.28,0.62,1
