,date,away,home,winner,home_runs,away_runs,total,home_wins,home_losses,home_win_perc,away_wins,away_losses,away_win_perc,home_cli,away_cli,game
3074,2016-05-22,ARI,STL,ARI,2.0,7.0,9.0,23.0,20.0,0.5348837209302325,20.0,25.0,0.4444444444444444,1.0,0.7,1
3085,2016-05-23,CLE,CHW,CLE,1.0,5.0,6.0,27.0,18.0,0.6,22.0,20.0,0.5238095238095238,1.59,1.43,2
3083,2016-05-23,TB,MIA,MIA,7.0,6.0,13.0,22.0,21.0,0.5116279069767442,20.0,21.0,0.4878048780487805,0.87,0.82,1
3084,2016-05-23,CLE,CHW,CHW,7.0,6.0,13.0,26.0,18.0,0.5909090909090909,22.0,19.0,0.5365853658536586,1.61,1.46,1
3085,2016-05-23,CLE,CHW,CLE,1.0,5.0,6.0,27.0,18.0,0.6,22.0,20.0,0.5238095238095238,1.59,1.43,1
3086,2016-05-23,KC,MIN,KC,4.0,10.0,14.0,11.0,32.0,0.2558139534883721,22.0,21.0,0.5116279069767442,0.07,1.03,1
3087,2016-05-23,COL,PIT,PIT,6.0,3.0,9.0,23.0,19.0,0.5476190476190477,21.0,21.0,0.5,1.07,1.07,1
3088,2016-05-23,PHI,DET,DET,5.0,4.0,9.0,21.0,22.0,0.4883720930232558,25.0,19.0,0.5681818181818182,0.82,1.13,1
3089,2016-05-23,CIN,LAD,LAD,1.0,0.0,1.0,22.0,23.0,0.4888888888888889,15.0,29.0,0.3409090909090909,0.92,0.15,1
3091,2016-05-23,NYM,WSH,NYM,1.0,7.0,8.0,27.0,17.0,0.6136363636363636,25.0,18.0,0.5813953488372093,1.58,1.52,1
3092,2016-05-23,SD,SF,SF,1.0,0.0,1.0,27.0,19.0,0.5869565217391305,19.0,26.0,0.4222222222222222,1.46,0.68,1
3093,2016-05-23,OAK,SEA,OAK,0.0,5.0,5.0,26.0,17.0,0.6046511627906976,19.0,26.0,0.4222222222222222,1.4,0.66,1
3094,2016-05-23,LAA,TEX,LAA,0.0,2.0,2.0,25.0,19.0,0.5681818181818182,20.0,24.0,0.4545454545454545,1.38,0.81,1
3090,2016-05-23,CHC,STL,STL,4.0,3.0,7.0,23.0,21.0,0.5227272727272727,29.0,13.0,0.6904761904761905,1.17,1.3,1
3103,2016-05-24,KC,MIN,KC,4.0,7.0,11.0,11.0,33.0,0.25,23.0,21.0,0.5227272727272727,0.05,1.06,1
3102,2016-05-24,SD,SF,SF,8.0,2.0,10.0,28.0,19.0,0.5957446808510638,19.0,27.0,0.4130434782608696,1.47,0.6,1
3101,2016-05-24,COL,BOS,BOS,8.0,3.0,11.0,27.0,17.0,0.6136363636363636,21.0,22.0,0.4883720930232558,1.27,0.96,1
3100,2016-05-24,OAK,SEA,SEA,6.0,5.0,11.0,26.0,18.0,0.5909090909090909,20.0,26.0,0.43478260869565216,1.45,0.73,1
3106,2016-05-24,NYM,WSH,WSH,7.0,4.0,11.0,27.0,18.0,0.6,26.0,18.0,0.5909090909090909,1.6,1.57,1
3098,2016-05-24,CLE,CHW,CLE,2.0,6.0,8.0,27.0,19.0,0.5869565217391305,23.0,20.0,0.5348837209302325,1.61,1.44,1
3097,2016-05-24,LAA,TEX,TEX,4.0,1.0,5.0,25.0,20.0,0.5555555555555556,21.0,24.0,0.4666666666666667,1.41,0.96,1
3096,2016-05-24,BAL,HOU,HOU,3.0,2.0,5.0,17.0,28.0,0.37777777777777777,26.0,16.0,0.6190476190476191,0.31,1.23,1
3105,2016-05-24,ARI,PIT,PIT,12.0,1.0,13.0,24.0,19.0,0.5581395348837209,21.0,25.0,0.4565217391304348,1.13,0.74,1
3095,2016-05-24,TOR,NYY,NYY,6.0,0.0,6.0,21.0,22.0,0.4883720930232558,22.0,24.0,0.4782608695652174,0.87,0.79,1
3099,2016-05-24,TB,MIA,TB,3.0,4.0,7.0,23.0,21.0,0.5227272727272727,20.0,22.0,0.4761904761904762,0.94,0.74,1
3104,2016-05-24,CHC,STL,CHC,3.0,12.0,15.0,24.0,21.0,0.5333333333333333,29.0,14.0,0.6744186046511628,1.25,1.41,1
3107,2016-05-24,MIL,ATL,MIL,1.0,2.0,3.0,12.0,31.0,0.2790697674418605,18.0,26.0,0.4090909090909091,0.08,0.35,1
3109,2016-05-24,PHI,DET,DET,3.0,1.0,4.0,22.0,22.0,0.5,25.0,20.0,0.5555555555555556,0.96,1.16,1
3108,2016-05-24,CIN,LAD,LAD,8.0,2.0,10.0,23.0,23.0,0.5,15.0,30.0,0.3333333333333333,0.97,0.12,1
3123,2016-05-25,COL,BOS,BOS,10.0,3.0,13.0,28.0,17.0,0.6222222222222222,21.0,23.0,0.4772727272727273,1.23,0.87,1
3117,2016-05-25,MIL,ATL,MIL,2.0,3.0,5.0,12.0,32.0,0.2727272727272727,19.0,26.0,0.4222222222222222,0.06,0.4,1
3118,2016-05-25,CHC,STL,CHC,8.0,9.0,17.0,24.0,22.0,0.5217391304347826,30.0,14.0,0.6818181818181818,1.13,1.33,1
3119,2016-05-25,OAK,SEA,SEA,13.0,3.0,16.0,27.0,18.0,0.6,20.0,27.0,0.425531914893617,1.39,0.64,1
3120,2016-05-25,NYM,WSH,NYM,0.0,2.0,2.0,28.0,18.0,0.6086956521739131,26.0,19.0,0.5777777777777777,1.64,1.55,1
3121,2016-05-25,LAA,TEX,TEX,15.0,9.0,24.0,26.0,20.0,0.5652173913043478,21.0,25.0,0.4565217391304348,1.39,0.83,1
3122,2016-05-25,TOR,NYY,TOR,4.0,8.0,12.0,22.0,22.0,0.5,22.0,25.0,0.4680851063829787,0.9,0.74,1
3124,2016-05-25,ARI,PIT,PIT,5.0,4.0,9.0,25.0,19.0,0.5681818181818182,21.0,26.0,0.44680851063829785,1.16,0.64,1
3116,2016-05-25,BAL,HOU,HOU,4.0,3.0,7.0,18.0,28.0,0.39130434782608703,26.0,17.0,0.6046511627906976,0.36,1.23,1
3115,2016-05-25,CIN,LAD,LAD,3.0,1.0,4.0,24.0,23.0,0.5106382978723404,15.0,31.0,0.32608695652173914,1.06,0.1,1
3113,2016-05-25,CLE,CHW,CLE,3.0,4.0,7.0,27.0,20.0,0.5744680851063829,24.0,20.0,0.5454545454545454,1.58,1.49,1
3112,2016-05-25,MIA,TB,MIA,3.0,4.0,7.0,21.0,22.0,0.4883720930232558,23.0,22.0,0.5111111111111111,0.79,0.88,1
3111,2016-05-25,PHI,DET,PHI,5.0,8.0,13.0,23.0,22.0,0.5111111111111111,25.0,21.0,0.5434782608695652,0.93,1.07,1
3110,2016-05-25,SD,SF,SF,4.0,3.0,7.0,29.0,19.0,0.6041666666666666,19.0,28.0,0.40425531914893614,1.42,0.5,1
3114,2016-05-25,KC,MIN,MIN,7.0,5.0,12.0,11.0,34.0,0.24444444444444444,24.0,21.0,0.5333333333333333,0.04,1.13,1
3128,2016-05-26,ARI,PIT,PIT,8.0,3.0,11.0,26.0,19.0,0.5777777777777777,21.0,27.0,0.4375,1.14,0.58,1
3126,2016-05-26,MIA,TB,MIA,1.0,9.0,10.0,21.0,23.0,0.4772727272727273,24.0,22.0,0.5217391304347826,0.74,0.95,1
3125,2016-05-26,STL,WSH,WSH,2.0,1.0,3.0,28.0,19.0,0.5957446808510638,24.0,23.0,0.5106382978723404,1.31,0.88,1
3129,2016-05-26,COL,BOS,COL,2.0,8.0,10.0,29.0,17.0,0.6304347826086957,21.0,24.0,0.4666666666666667,1.25,0.77,1
3130,2016-05-26,TOR,NYY,TOR,1.0,3.0,4.0,22.0,23.0,0.4888888888888889,23.0,25.0,0.4791666666666667,0.89,0.81,1
3131,2016-05-26,MIL,ATL,MIL,2.0,6.0,8.0,12.0,33.0,0.26666666666666666,20.0,26.0,0.43478260869565216,0.05,0.42,1
3127,2016-05-26,BAL,HOU,HOU,4.0,2.0,6.0,19.0,28.0,0.40425531914893614,26.0,18.0,0.5909090909090909,0.39,1.23,1
3140,2016-05-27,CIN,MIL,MIL,9.0,5.0,14.0,21.0,26.0,0.44680851063829785,15.0,32.0,0.3191489361702128,0.47,0.07,1
3142,2016-05-27,HOU,LAA,LAA,7.0,2.0,9.0,21.0,26.0,0.44680851063829785,20.0,28.0,0.4166666666666667,0.63,0.43,1
3132,2016-05-27,SD,ARI,SD,3.0,10.0,13.0,21.0,28.0,0.42857142857142855,19.0,29.0,0.3958333333333333,0.53,0.37,1
3133,2016-05-27,BOS,TOR,TOR,7.0,5.0,12.0,24.0,25.0,0.4897959183673469,29.0,18.0,0.6170212765957447,1.05,1.47,1
3134,2016-05-27,MIA,ATL,ATL,4.0,2.0,6.0,12.0,34.0,0.2608695652173913,25.0,22.0,0.5319148936170213,0.04,0.97,1
3135,2016-05-27,DET,OAK,DET,1.0,4.0,5.0,20.0,28.0,0.4166666666666667,23.0,23.0,0.5,0.45,0.97,1
3136,2016-05-27,SF,COL,COL,5.0,2.0,7.0,22.0,24.0,0.4782608695652174,30.0,19.0,0.6122448979591837,1.13,1.57,1
3137,2016-05-27,PIT,TEX,PIT,1.0,9.0,10.0,27.0,20.0,0.5744680851063829,27.0,19.0,0.5869565217391305,1.26,1.16,1
3141,2016-05-27,STL,WSH,STL,2.0,6.0,8.0,29.0,19.0,0.6041666666666666,24.0,24.0,0.5,1.33,0.79,1
3138,2016-05-27,CHW,KC,KC,7.0,5.0,12.0,24.0,22.0,0.5217391304347826,27.0,21.0,0.5625,1.36,1.54,1
3139,2016-05-27,NYY,TB,NYY,1.0,4.0,5.0,21.0,24.0,0.4666666666666667,22.0,24.0,0.4782608695652174,0.75,0.8,1
3143,2016-05-27,BAL,CLE,BAL,4.0,6.0,10.0,25.0,20.0,0.5555555555555556,26.0,19.0,0.5777777777777777,1.29,1.28,1
3144,2016-05-27,MIN,SEA,MIN,2.0,7.0,9.0,28.0,18.0,0.6086956521739131,12.0,34.0,0.2608695652173913,1.28,0.04,1
3145,2016-05-27,LAD,NYM,NYM,6.0,5.0,11.0,27.0,19.0,0.5869565217391305,25.0,23.0,0.5208333333333334,1.24,1.08,1
3146,2016-05-27,PHI,CHC,CHC,6.0,2.0,8.0,31.0,14.0,0.6888888888888889,26.0,21.0,0.5531914893617021,1.08,1.13,1
3158,2016-05-28,SD,ARI,ARI,8.0,7.0,15.0,21.0,29.0,0.42,20.0,29.0,0.4081632653061225,0.47,0.41,1
3155,2016-05-28,MIN,SEA,MIN,5.0,6.0,11.0,28.0,19.0,0.5957446808510638,13.0,34.0,0.2765957446808511,1.28,0.05,1
3159,2016-05-28,LAD,NYM,LAD,1.0,9.0,10.0,28.0,19.0,0.5957446808510638,25.0,24.0,0.5102040816326531,1.37,1.1,1
3160,2016-05-28,BAL,CLE,CLE,11.0,4.0,15.0,25.0,21.0,0.5434782608695652,27.0,19.0,0.5869565217391305,1.25,1.29,1
3161,2016-05-28,NYY,TB,TB,9.0,5.0,14.0,21.0,25.0,0.4565217391304348,23.0,24.0,0.4893617021276596,0.7,0.88,1
3154,2016-05-28,PHI,CHC,CHC,4.0,1.0,5.0,32.0,14.0,0.6956521739130435,26.0,22.0,0.5416666666666666,1.06,1.11,1
3153,2016-05-28,DET,OAK,OAK,12.0,3.0,15.0,20.0,29.0,0.4081632653061225,24.0,23.0,0.5106382978723404,0.41,1.04,1
3151,2016-05-28,CIN,MIL,CIN,6.0,7.0,13.0,22.0,26.0,0.4583333333333333,15.0,33.0,0.3125,0.48,0.06,1
3157,2016-05-28,MIA,ATL,ATL,7.0,2.0,9.0,13.0,34.0,0.2765957446808511,25.0,23.0,0.5208333333333334,0.04,0.98,1
3150,2016-05-28,HOU,LAA,HOU,2.0,4.0,6.0,22.0,26.0,0.4583333333333333,20.0,29.0,0.4081632653061225,0.75,0.47,1
3149,2016-05-28,PIT,TEX,TEX,5.0,2.0,7.0,27.0,21.0,0.5625,28.0,19.0,0.5957446808510638,1.25,1.16,1
3148,2016-05-28,CHW,KC,KC,8.0,7.0,15.0,25.0,22.0,0.5319148936170213,27.0,22.0,0.5510204081632653,1.41,1.52,1
3147,2016-05-28,STL,WSH,STL,4.0,9.0,13.0,29.0,20.0,0.5918367346938775,25.0,24.0,0.5102040816326531,1.35,0.86,1
3152,2016-05-28,BOS,TOR,TOR,10.0,9.0,19.0,25.0,25.0,0.5,29.0,19.0,0.6041666666666666,1.13,1.52,1
3156,2016-05-28,SF,COL,SF,5.0,10.0,15.0,23.0,24.0,0.4893617021276596,30.0,20.0,0.6,1.27,1.59,1
3174,2016-05-29,CHW,KC,KC,5.0,4.0,9.0,26.0,22.0,0.5416666666666666,27.0,23.0,0.54,1.53,1.48,1
3162,2016-05-29,HOU,LAA,HOU,6.0,8.0,14.0,22.0,27.0,0.4489795918367347,21.0,29.0,0.42,0.68,0.5,1
3163,2016-05-29,STL,WSH,WSH,10.0,2.0,12.0,29.0,21.0,0.58,26.0,24.0,0.52,1.32,0.91,1
3164,2016-05-29,MIN,SEA,MIN,4.0,5.0,9.0,28.0,20.0,0.5833333333333334,14.0,34.0,0.2916666666666667,1.28,0.07,1
3165,2016-05-29,CIN,MIL,MIL,5.0,4.0,9.0,22.0,27.0,0.4489795918367347,16.0,33.0,0.32653061224489793,0.46,0.07,1
3166,2016-05-29,MIA,ATL,MIA,3.0,7.0,10.0,14.0,34.0,0.2916666666666667,25.0,24.0,0.5102040816326531,0.05,0.89,1
3167,2016-05-29,PHI,CHC,CHC,7.0,2.0,9.0,33.0,14.0,0.7021276595744681,26.0,23.0,0.5306122448979592,1.04,1.08,1
3168,2016-05-29,SD,ARI,ARI,6.0,3.0,9.0,22.0,29.0,0.4313725490196079,20.0,30.0,0.4,0.5,0.33,1
3169,2016-05-29,PIT,TEX,TEX,6.0,2.0,8.0,28.0,21.0,0.5714285714285714,28.0,20.0,0.5833333333333334,1.3,1.11,1
3170,2016-05-29,LAD,NYM,LAD,2.0,4.0,6.0,28.0,20.0,0.5833333333333334,26.0,24.0,0.52,1.32,1.12,1
3171,2016-05-29,BAL,CLE,BAL,4.0,6.0,10.0,26.0,21.0,0.5531914893617021,27.0,20.0,0.5744680851063829,1.35,1.33,1
3172,2016-05-29,SF,COL,SF,3.0,8.0,11.0,23.0,25.0,0.4791666666666667,31.0,20.0,0.6078431372549019,1.12,1.56,1
3173,2016-05-29,DET,OAK,OAK,4.0,2.0,6.0,21.0,29.0,0.42,24.0,24.0,0.5,0.47,1.04,1
3175,2016-05-29,NYY,TB,NYY,1.0,2.0,3.0,22.0,25.0,0.4680851063829787,23.0,25.0,0.4791666666666667,0.79,0.84,1
3176,2016-05-29,BOS,TOR,BOS,3.0,5.0,8.0,26.0,25.0,0.5098039215686274,29.0,20.0,0.5918367346938775,1.19,1.5,1
3181,2016-05-30,WSH,PHI,WSH,3.0,4.0,7.0,26.0,24.0,0.52,30.0,21.0,0.5882352941176471,1.26,1.58,1
3187,2016-05-30,CIN,COL,CIN,8.0,11.0,19.0,23.0,26.0,0.4693877551020408,16.0,34.0,0.32,0.74,0.06,1
3177,2016-05-30,SD,SEA,SEA,9.0,3.0,12.0,28.0,21.0,0.5714285714285714,20.0,31.0,0.392156862745098,1.34,0.28,1
3178,2016-05-30,HOU,ARI,HOU,3.0,8.0,11.0,23.0,29.0,0.4423076923076923,22.0,29.0,0.4313725490196079,0.55,0.53,1
3179,2016-05-30,PIT,MIA,PIT,0.0,10.0,10.0,26.0,24.0,0.52,28.0,21.0,0.5714285714285714,1.02,1.14,1
3180,2016-05-30,TEX,CLE,TEX,2.0,9.0,11.0,26.0,22.0,0.5416666666666666,29.0,21.0,0.58,1.27,1.33,1
3182,2016-05-30,SF,ATL,ATL,5.0,3.0,8.0,14.0,35.0,0.2857142857142857,32.0,20.0,0.6153846153846154,0.04,1.23,1
3183,2016-05-30,MIN,OAK,OAK,3.0,2.0,5.0,22.0,29.0,0.4313725490196079,15.0,34.0,0.30612244897959184,0.54,0.08,1
3184,2016-05-30,CHW,NYM,NYM,1.0,0.0,1.0,28.0,21.0,0.5714285714285714,27.0,24.0,0.5294117647058824,1.23,1.2,1
3185,2016-05-30,BOS,BAL,BOS,2.0,7.0,9.0,28.0,20.0,0.5833333333333334,30.0,20.0,0.6,1.66,1.69,1
3186,2016-05-30,LAD,CHC,CHC,2.0,0.0,2.0,34.0,14.0,0.7083333333333334,27.0,24.0,0.5294117647058824,0.88,1.19,1
3188,2016-05-30,NYY,TOR,TOR,4.0,2.0,6.0,26.0,26.0,0.5,24.0,25.0,0.4897959183673469,1.01,0.93,1
3189,2016-05-30,STL,MIL,STL,0.0,6.0,6.0,23.0,27.0,0.46,26.0,25.0,0.5098039215686274,0.52,0.81,1
3190,2016-05-30,TB,KC,KC,6.0,2.0,8.0,27.0,22.0,0.5510204081632653,22.0,26.0,0.4583333333333333,1.3,0.67,1
3191,2016-05-30,DET,LAA,LAA,5.0,1.0,6.0,22.0,28.0,0.44,24.0,25.0,0.4897959183673469,0.6,0.94,1
3195,2016-05-31,PIT,MIA,MIA,3.0,1.0,4.0,26.0,25.0,0.5098039215686274,29.0,21.0,0.58,0.99,1.18,1
3194,2016-05-31,LAD,CHC,LAD,0.0,5.0,5.0,35.0,14.0,0.7142857142857143,27.0,25.0,0.5192307692307693,0.88,1.13,1
3199,2016-05-31,HOU,ARI,HOU,5.0,8.0,13.0,23.0,30.0,0.4339622641509434,23.0,29.0,0.4423076923076923,0.48,0.57,1
3192,2016-05-31,TB,KC,KC,10.0,5.0,15.0,28.0,22.0,0.56,22.0,27.0,0.4489795918367347,1.34,0.57,1
3196,2016-05-31,STL,MIL,STL,3.0,10.0,13.0,23.0,28.0,0.4509803921568628,27.0,25.0,0.5192307692307693,0.49,0.87,1
3193,2016-05-31,MIN,OAK,OAK,7.0,4.0,11.0,23.0,29.0,0.4423076923076923,15.0,35.0,0.3,0.54,0.07,1
3197,2016-05-31,TEX,CLE,TEX,3.0,7.0,10.0,26.0,23.0,0.5306122448979592,30.0,21.0,0.5882352941176471,1.26,1.37,1
3198,2016-05-31,CIN,COL,COL,17.0,4.0,21.0,23.0,27.0,0.46,17.0,34.0,0.3333333333333333,0.7,0.06,1
3200,2016-05-31,NYY,TOR,TOR,4.0,1.0,5.0,27.0,26.0,0.5094339622641509,24.0,26.0,0.48,1.08,0.88,1
3201,2016-05-31,DET,LAA,LAA,11.0,9.0,20.0,23.0,28.0,0.4509803921568628,24.0,26.0,0.48,0.59,0.88,1
3202,2016-05-31,SF,ATL,SF,0.0,4.0,4.0,15.0,35.0,0.3,32.0,21.0,0.6037735849056604,0.05,1.28,1
3203,2016-05-31,CHW,NYM,CHW,4.0,6.0,10.0,29.0,21.0,0.58,27.0,25.0,0.5192307692307693,1.31,1.16,1
3204,2016-05-31,SD,SEA,SEA,16.0,4.0,20.0,29.0,21.0,0.58,20.0,32.0,0.38461538461538464,1.27,0.24,1
3205,2016-05-31,BOS,BAL,BOS,2.0,6.0,8.0,28.0,21.0,0.5714285714285714,31.0,20.0,0.6078431372549019,1.62,1.73,1
3206,2016-05-31,WSH,PHI,WSH,1.0,5.0,6.0,26.0,25.0,0.5098039215686274,31.0,21.0,0.5961538461538461,1.2,1.54,1
3213,2016-06-01,SF,ATL,ATL,5.0,4.0,9.0,15.0,36.0,0.29411764705882354,33.0,21.0,0.6111111111111112,0.03,1.2,1
3214,2016-06-01,SEA,SD,SD,14.0,6.0,20.0,20.0,33.0,0.37735849056603776,30.0,21.0,0.5882352941176471,0.21,1.28,1
3215,2016-06-01,CHW,NYM,CHW,1.0,2.0,3.0,29.0,22.0,0.5686274509803921,28.0,25.0,0.5283018867924528,1.24,1.16,1
3216,2016-06-01,WSH,PHI,WSH,2.0,7.0,9.0,26.0,26.0,0.5,32.0,21.0,0.6037735849056604,1.14,1.55,1
3217,2016-06-01,PIT,MIA,MIA,3.0,2.0,5.0,27.0,25.0,0.5192307692307693,29.0,22.0,0.5686274509803921,1.01,1.23,1
3218,2016-06-01,MIN,OAK,OAK,5.0,1.0,6.0,24.0,29.0,0.4528301886792453,15.0,36.0,0.29411764705882354,0.58,0.07,1
3210,2016-06-01,LAD,CHC,CHC,2.0,1.0,3.0,35.0,15.0,0.7,28.0,25.0,0.5283018867924528,0.95,1.14,1
3220,2016-06-01,DET,LAA,DET,0.0,3.0,3.0,24.0,28.0,0.4615384615384616,24.0,27.0,0.4705882352941176,0.64,0.81,1
3221,2016-06-01,TB,KC,KC,6.0,3.0,9.0,29.0,22.0,0.5686274509803921,22.0,28.0,0.44,1.31,0.51,1
3211,2016-06-01,NYY,TOR,TOR,7.0,0.0,7.0,28.0,26.0,0.5185185185185185,24.0,27.0,0.4705882352941176,1.1,0.79,1
3209,2016-06-01,STL,MIL,MIL,3.0,1.0,4.0,23.0,29.0,0.4423076923076923,28.0,25.0,0.5283018867924528,0.43,0.96,1
3208,2016-06-01,TEX,CLE,CLE,5.0,4.0,9.0,26.0,24.0,0.52,31.0,21.0,0.5961538461538461,1.14,1.39,1
3207,2016-06-01,ARI,HOU,HOU,5.0,4.0,9.0,24.0,29.0,0.4528301886792453,23.0,31.0,0.4259259259259259,0.55,0.41,1
3219,2016-06-01,BOS,BAL,BAL,13.0,9.0,22.0,28.0,22.0,0.56,32.0,20.0,0.6153846153846154,1.56,1.62,1
3212,2016-06-01,CIN,COL,CIN,2.0,7.0,9.0,24.0,27.0,0.4705882352941176,17.0,35.0,0.3269230769230769,0.78,0.06,1
3232,2016-06-02,CIN,COL,CIN,4.0,11.0,15.0,24.0,28.0,0.4615384615384616,18.0,35.0,0.33962264150943394,0.73,0.07,1
3229,2016-06-02,KC,CLE,CLE,5.0,4.0,9.0,27.0,24.0,0.5294117647058824,30.0,22.0,0.5769230769230769,1.46,1.66,1
3222,2016-06-02,PIT,MIA,MIA,4.0,3.0,7.0,28.0,25.0,0.5283018867924528,29.0,23.0,0.5576923076923077,1.08,1.14,1
3223,2016-06-02,MIL,PHI,MIL,1.0,4.0,5.0,26.0,27.0,0.490566037735849,24.0,29.0,0.4528301886792453,0.83,0.47,1
3224,2016-06-02,TB,MIN,MIN,6.0,4.0,10.0,15.0,37.0,0.28846153846153844,22.0,29.0,0.4313725490196079,0.03,0.44,1
3225,2016-06-02,ARI,HOU,ARI,0.0,3.0,3.0,25.0,29.0,0.462962962962963,23.0,32.0,0.41818181818181815,0.63,0.38,1
3226,2016-06-02,LAD,CHC,CHC,7.0,2.0,9.0,36.0,15.0,0.7058823529411765,28.0,26.0,0.5185185185185185,0.84,1.17,1
3227,2016-06-02,BOS,BAL,BAL,12.0,7.0,19.0,29.0,22.0,0.5686274509803921,32.0,21.0,0.6037735849056604,1.66,1.68,1
3228,2016-06-02,SF,ATL,SF,0.0,6.0,6.0,16.0,36.0,0.3076923076923077,33.0,22.0,0.6,0.05,1.24,1
3230,2016-06-02,NYY,DET,NYY,4.0,5.0,9.0,25.0,27.0,0.4807692307692308,24.0,28.0,0.4615384615384616,0.87,0.64,1
3231,2016-06-02,SEA,SD,SEA,13.0,16.0,29.0,21.0,33.0,0.3888888888888889,30.0,22.0,0.5769230769230769,0.24,1.32,1
3243,2016-06-03,OAK,HOU,HOU,12.0,2.0,14.0,25.0,30.0,0.4545454545454545,25.0,29.0,0.462962962962963,0.59,0.66,1
3244,2016-06-03,TB,MIN,TB,2.0,4.0,6.0,16.0,37.0,0.3018867924528302,22.0,30.0,0.4230769230769231,0.06,0.38,1
3245,2016-06-03,COL,SD,SD,4.0,0.0,4.0,21.0,34.0,0.3818181818181817,24.0,29.0,0.4528301886792453,0.23,0.69,1
3238,2016-06-03,ARI,CHC,CHC,6.0,0.0,6.0,37.0,15.0,0.7115384615384616,24.0,32.0,0.42857142857142855,0.78,0.46,1
3247,2016-06-03,NYY,BAL,BAL,6.0,5.0,11.0,30.0,22.0,0.5769230769230769,25.0,28.0,0.4716981132075472,1.38,0.82,1
3242,2016-06-03,MIL,PHI,PHI,6.0,3.0,9.0,26.0,28.0,0.4814814814814815,25.0,29.0,0.462962962962963,0.77,0.52,1
3246,2016-06-03,CHW,DET,DET,10.0,3.0,13.0,25.0,28.0,0.4716981132075472,29.0,25.0,0.5370370370370371,0.92,1.38,1
3241,2016-06-03,LAA,PIT,LAA,2.0,9.0,11.0,29.0,24.0,0.5471698113207547,24.0,29.0,0.4528301886792453,0.94,0.59,1
3235,2016-06-03,SF,STL,SF,1.0,5.0,6.0,28.0,26.0,0.5185185185185185,34.0,22.0,0.6071428571428571,0.88,1.27,1
3239,2016-06-03,SEA,TEX,TEX,7.0,3.0,10.0,31.0,22.0,0.5849056603773585,31.0,22.0,0.5849056603773585,1.77,1.75,1
3237,2016-06-03,KC,CLE,CLE,6.0,1.0,7.0,28.0,24.0,0.5384615384615384,30.0,23.0,0.5660377358490566,1.52,1.67,1
3236,2016-06-03,ATL,LAD,LAD,4.0,2.0,6.0,28.0,27.0,0.509090909090909,16.0,37.0,0.3018867924528302,1.07,0.03,1
3234,2016-06-03,WSH,CIN,CIN,7.0,2.0,9.0,19.0,35.0,0.35185185185185186,33.0,21.0,0.6111111111111112,0.09,1.33,1
3233,2016-06-03,TOR,BOS,TOR,2.0,5.0,7.0,32.0,22.0,0.5925925925925926,29.0,26.0,0.5272727272727272,1.58,1.37,1
3240,2016-06-03,NYM,MIA,NYM,2.0,6.0,8.0,29.0,25.0,0.5370370370370371,29.0,23.0,0.5576923076923077,1.34,1.41,1
3254,2016-06-04,SF,STL,STL,7.0,4.0,11.0,28.0,27.0,0.509090909090909,35.0,22.0,0.6140350877192983,0.8,1.12,1
3253,2016-06-04,OAK,HOU,HOU,6.0,5.0,11.0,26.0,30.0,0.4642857142857143,25.0,30.0,0.4545454545454545,0.72,0.61,1
3252,2016-06-04,SEA,TEX,TEX,10.0,4.0,14.0,32.0,22.0,0.5925925925925926,31.0,23.0,0.5740740740740741,1.79,1.81,1
3257,2016-06-04,MIL,PHI,MIL,3.0,6.0,9.0,27.0,28.0,0.4909090909090909,25.0,30.0,0.4545454545454545,0.86,0.49,1
3250,2016-06-04,CHW,DET,DET,7.0,4.0,11.0,26.0,28.0,0.4814814814814815,29.0,26.0,0.5272727272727272,1.02,1.34,1
3248,2016-06-04,ARI,CHC,CHC,5.0,3.0,8.0,38.0,15.0,0.7169811320754716,24.0,33.0,0.42105263157894735,0.71,0.38,1
3255,2016-06-04,NYM,MIA,NYM,4.0,6.0,10.0,29.0,26.0,0.5272727272727272,30.0,23.0,0.5660377358490566,1.24,1.44,1
3251,2016-06-04,ATL,LAD,LAD,4.0,0.0,4.0,29.0,27.0,0.5178571428571429,16.0,38.0,0.2962962962962963,1.05,0.03,1
3256,2016-06-04,TOR,BOS,BOS,6.0,4.0,10.0,32.0,23.0,0.5818181818181818,30.0,26.0,0.5357142857142857,1.62,1.46,1
3249,2016-06-04,KC,CLE,CLE,7.0,1.0,8.0,29.0,24.0,0.5471698113207547,30.0,24.0,0.5555555555555556,1.63,1.65,1
3262,2016-06-04,TB,MIN,TB,4.0,7.0,11.0,16.0,38.0,0.2962962962962963,23.0,30.0,0.4339622641509434,0.04,0.44,1
3261,2016-06-04,NYY,BAL,NYY,6.0,8.0,14.0,31.0,22.0,0.5849056603773585,25.0,29.0,0.462962962962963,1.43,0.78,1
3260,2016-06-04,LAA,PIT,PIT,8.0,7.0,15.0,29.0,25.0,0.5370370370370371,25.0,29.0,0.462962962962963,0.95,0.61,1
3259,2016-06-04,WSH,CIN,CIN,6.0,3.0,9.0,20.0,35.0,0.3636363636363637,33.0,22.0,0.6,0.11,1.31,1
3258,2016-06-04,COL,SD,SD,4.0,3.0,7.0,22.0,34.0,0.3928571428571429,24.0,30.0,0.4444444444444444,0.26,0.56,1
3265,2016-06-05,NYM,MIA,MIA,1.0,0.0,1.0,29.0,27.0,0.5178571428571429,31.0,23.0,0.5740740740740741,1.27,1.49,1
